date,location,new_cases,total_cases,new_deaths,total_deaths,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations,daily_vaccinations_raw
2020-05-06,Brazil,0,91589,0,6329,,,,,
2020-05-07,Brazil,0,91589,0,6329,,,,,
2020-05-08,Brazil,0,91589,0,6329,,,,,
2020-05-09,Brazil,0,91589,0,6329,,,,,
2020-05-10,Brazil,53739,145328,3568,9897,,,,,
2020-05-11,Brazil,0,145328,0,9897,,,,,
2020-05-12,Brazil,0,145328,0,9897,,,,,
2020-05-13,Brazil,0,145328,0,9897,,,,,
2020-05-14,Brazil,0,145328,0,9897,,,,,
2020-05-15,Brazil,0,145328,0,9897,,,,,
2020-05-16,Brazil,0,145328,0,9897,,,,,
2020-05-17,Brazil,72895,218223,4920,14817,,,,,
2020-05-18,Brazil,0,218223,0,14817,,,,,
2020-05-19,Brazil,0,218223,0,14817,,,,,
2020-05-20,Brazil,0,218223,0,14817,,,,,
2020-05-21,Brazil,0,218223,0,14817,,,,,
2020-05-22,Brazil,0,218223,0,14817,,,,,
2020-05-23,Brazil,0,218223,0,14817,,,,,
2020-05-24,Brazil,112667,330890,6231,21048,,,,,
2020-05-25,Brazil,0,330890,0,21048,,,,,
2020-05-26,Brazil,0,330890,0,21048,,,,,
2020-05-27,Brazil,0,330890,0,21048,,,,,
2020-05-28,Brazil,0,330890,0,21048,,,,,
2020-05-29,Brazil,0,330890,0,21048,,,,,
2020-05-30,Brazil,0,330890,0,21048,,,,,
2020-05-31,Brazil,134276,465166,6830,27878,,,,,
2020-06-01,Brazil,0,465166,0,27878,,,,,
2020-06-02,Brazil,0,465166,0,27878,,,,,
2020-06-03,Brazil,0,465166,0,27878,,,,,
2020-06-04,Brazil,0,465166,0,27878,,,,,
2020-06-05,Brazil,0,465166,0,27878,,,,,
2020-06-06,Brazil,0,465166,0,27878,,,,,
2020-06-07,Brazil,180605,645771,7148,35026,,,,,
2020-06-08,Brazil,0,645771,0,35026,,,,,
2020-06-09,Brazil,0,645771,0,35026,,,,,
2020-06-10,Brazil,0,645771,0,35026,,,,,
2020-06-11,Brazil,0,645771,0,35026,,,,,
2020-06-12,Brazil,0,645771,0,35026,,,,,
2020-06-13,Brazil,0,645771,0,35026,,,,,
2020-06-14,Brazil,183039,828810,6802,41828,,,,,
2020-06-15,Brazil,0,828810,0,41828,,,,,
2020-06-16,Brazil,0,828810,0,41828,,,,,
2020-06-17,Brazil,0,828810,0,41828,,,,,
2020-06-18,Brazil,0,828810,0,41828,,,,,
2020-06-19,Brazil,0,828810,0,41828,,,,,
2020-06-20,Brazil,0,828810,0,41828,,,,,
2020-06-21,Brazil,204103,1032913,7126,48954,,,,,
2020-06-22,Brazil,0,1032913,0,48954,,,,,
2020-06-23,Brazil,0,1032913,0,48954,,,,,
2020-06-24,Brazil,0,1032913,0,48954,,,,,
2020-06-25,Brazil,0,1032913,0,48954,,,,,
2020-06-26,Brazil,0,1032913,0,48954,,,,,
2020-06-27,Brazil,0,1032913,0,48954,,,,,
2020-06-28,Brazil,242061,1274974,7007,55961,,,,,
2020-06-29,Brazil,0,1274974,0,55961,,,,,
2020-06-30,Brazil,0,1274974,0,55961,,,,,
2020-07-01,Brazil,0,1274974,0,55961,,,,,
2020-07-02,Brazil,0,1274974,0,55961,,,,,
2020-07-03,Brazil,0,1274974,0,55961,,,,,
2020-07-04,Brazil,0,1274974,0,55961,,,,,
2020-07-05,Brazil,264107,1539081,7213,63174,,,,,
2020-07-06,Brazil,0,1539081,0,63174,,,,,
2020-07-07,Brazil,0,1539081,0,63174,,,,,
2020-07-08,Brazil,0,1539081,0,63174,,,,,
2020-07-09,Brazil,0,1539081,0,63174,,,,,
2020-07-10,Brazil,0,1539081,0,63174,,,,,
2020-07-11,Brazil,0,1539081,0,63174,,,,,
2020-07-12,Brazil,261746,1800827,7224,70398,,,,,
2020-07-13,Brazil,0,1800827,0,70398,,,,,
2020-07-14,Brazil,0,1800827,0,70398,,,,,
2020-07-15,Brazil,0,1800827,0,70398,,,,,
2020-07-16,Brazil,0,1800827,0,70398,,,,,
2020-07-17,Brazil,0,1800827,0,70398,,,,,
2020-07-18,Brazil,0,1800827,0,70398,,,,,
2020-07-19,Brazil,245501,2046328,7453,77851,,,,,
2020-07-20,Brazil,0,2046328,0,77851,,,,,
2020-07-21,Brazil,0,2046328,0,77851,,,,,
2020-07-22,Brazil,0,2046328,0,77851,,,,,
2020-07-23,Brazil,0,2046328,0,77851,,,,,
2020-07-24,Brazil,0,2046328,0,77851,,,,,
2020-07-25,Brazil,0,2046328,0,77851,,,,,
2020-07-26,Brazil,297038,2343366,7387,85238,,,,,
2020-07-27,Brazil,0,2343366,0,85238,,,,,
2020-07-28,Brazil,0,2343366,0,85238,,,,,
