location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred
Brazil,BRA,2022-12-25,480288516,188543080,174872899,122604684,15547,18977,223.06,87.57,81.22,56.94,88,2894,0.001
Brazil,BRA,2022-12-26,480291721,188543313,174873775,122606791,3205,17186,223.07,87.57,81.22,56.94,80,2614,0.001
Brazil,BRA,2022-12-27,480310839,188549744,174881292,122616211,19118,17668,223.08,87.57,81.22,56.95,82,3219,0.001
Brazil,BRA,2022-12-28,,,,,,17151,,,,,80,3130,0.001
Brazil,BRA,2022-12-29,480331769,188552661,174886102,122629436,,16635,223.08,87.57,81.22,56.95,77,3040,0.001
Brazil,BRA,2022-12-30,480332769,188553047,174886846,,1000,16629,223.09,87.57,81.22,,77,3053,0.001
Brazil,BRA,2022-12-31,480333910,188553932,174887915,122629436,1141,8706,223.09,87.57,81.22,56.95,40,1889,0.001
Brazil,BRA,2023-01-01,480333982,188553963,174887956,,72,6495,223.09,87.57,81.22,,30,1555,0.001
Brazil,BRA,2023-01-02,,,,122629436,,11832,,,,56.95,55,2249,0.001
Brazil,BRA,2023-01-03,480415107,188564151,174905276,122683198,,14895,223.12,87.58,81.23,56.98,69,2058,0.001
Brazil,BRA,2023-01-04,480430556,188566405,174908749,122692958,15449,15607,223.13,87.58,81.23,56.98,72,2172,0.001
Brazil,BRA,2023-01-05,,,,,,143749,,,,,668,19267,0.009
Brazil,BRA,2023-01-06,482245470,188808652,175264709,123914533,,273243,223.97,87.69,81.4,57.55,1269,36515,0.017
Brazil,BRA,2023-01-07,482292286,188815642,175274334,123944826,46816,279768,224.0,87.69,81.4,57.56,1299,37387,0.017
Brazil,BRA,2023-01-08,482318528,188819345,175279398,123962331,26242,283507,224.01,87.7,81.41,57.57,1317,37912,0.018
Brazil,BRA,2023-01-09,482318566,188819368,175279413,,38,277717,224.01,87.7,81.41,,1290,37187,0.017
Brazil,BRA,2023-01-10,482319264,188819559,175279920,123962331,698,272022,224.01,87.7,81.41,57.57,1263,36487,0.017
Brazil,BRA,2023-01-11,482329975,188820856,175284167,123968124,10711,271346,224.01,87.7,81.41,57.58,1260,36350,0.017
Brazil,BRA,2023-01-12,482331002,188821214,175284836,,1027,141856,224.01,87.7,81.41,,659,19098,0.009
Brazil,BRA,2023-01-13,482331930,188821563,175285483,123968124,928,12351,224.01,87.7,81.41,57.58,57,1844,0.001
Brazil,BRA,2023-01-14,482332527,188821768,175285875,,597,5749,224.01,87.7,81.41,,27,875,0.0
Brazil,BRA,2023-01-15,482332889,188821957,175286048,123968124,362,2052,224.01,87.7,81.41,57.58,10,373,0.0
Brazil,BRA,2023-01-16,482332927,188821982,175286061,,38,2052,224.01,87.7,81.41,,10,373,0.0
Brazil,BRA,2023-01-17,482568192,188943731,175319080,124055944,235265,35561,224.12,87.75,81.43,57.62,165,17739,0.008
Brazil,BRA,2023-01-18,482569045,188944039,175319625,,853,34153,224.12,87.75,81.43,,159,17598,0.008
Brazil,BRA,2023-01-19,482577061,188944306,175320288,124063030,8016,35151,224.13,87.75,81.43,57.62,163,17585,0.008
Brazil,BRA,2023-01-20,,,,,,40476,,,,,188,18171,0.008
Brazil,BRA,2023-01-21,482653461,188953216,175337604,124113349,,45848,224.16,87.76,81.43,57.64,213,18778,0.009
Brazil,BRA,2023-01-22,482653528,188953257,175337630,,67,45806,224.16,87.76,81.43,,213,18757,0.009
Brazil,BRA,2023-01-23,,,,124113349,,46290,,,,57.64,215,18763,0.009
Brazil,BRA,2023-01-24,482660379,188953386,175344352,,,13170,224.17,87.76,81.44,,61,1379,0.001
Brazil,BRA,2023-01-25,483479123,189041040,175494157,124696295,818744,130011,224.55,87.8,81.51,57.91,604,13857,0.006
Brazil,BRA,2023-01-26,483511611,189044894,175503128,124716004,32488,133507,224.56,87.8,81.51,57.92,620,14370,0.007
Brazil,BRA,2023-01-27,483584812,189046880,175510418,124780055,73201,138507,224.6,87.8,81.51,57.95,643,14017,0.007
Brazil,BRA,2023-01-28,483585204,189047042,175510648,,392,133106,224.6,87.8,81.51,,618,13404,0.006
Brazil,BRA,2023-01-29,483585261,189047050,175510697,124780055,57,133105,224.6,87.8,81.51,57.95,618,13399,0.006
Brazil,BRA,2023-01-30,,,,,,132792,,,,,617,13418,0.006
Brazil,BRA,2023-01-31,483587737,189047444,175512132,124780709,,132480,224.6,87.8,81.51,57.95,615,13437,0.006
Brazil,BRA,2023-02-01,,,,,,19100,,,,,89,1282,0.001
Brazil,BRA,2023-02-02,483637909,189052588,175525337,124812593,,18043,224.62,87.8,81.52,57.97,84,1099,0.001
Brazil,BRA,2023-02-03,483959289,189086622,175607559,125019968,321380,53497,224.77,87.82,81.56,58.06,248,5677,0.003
Brazil,BRA,2023-02-04,483961356,189086800,175608412,125021004,2067,53736,224.77,87.82,81.56,58.06,250,5680,0.003
Brazil,BRA,2023-02-05,483962208,189087256,175608808,,852,53850,224.77,87.82,81.56,,250,5744,0.003
Brazil,BRA,2023-02-06,,,,125021004,,58668,,,,58.06,272,6404,0.003
Brazil,BRA,2023-02-07,484032139,189096899,175625420,125065116,,63486,224.8,87.82,81.57,58.09,295,7065,0.003
Brazil,BRA,2023-02-08,484035422,189097459,175627190,125066069,3283,60371,224.8,87.82,81.57,58.09,280,6778,0.003
Brazil,BRA,2023-02-09,,,,,,69507,,,,,323,8723,0.004
Brazil,BRA,2023-02-10,,,,,,36315,,,,,169,6175,0.003
Brazil,BRA,2023-02-11,484302525,189146039,175693114,125219079,,48738,224.93,87.85,81.6,58.16,226,8463,0.004
Brazil,BRA,2023-02-12,,,,,,54451,,,,,253,9567,0.004
Brazil,BRA,2023-02-13,484384204,189162407,175709963,125267744,,55290,224.97,87.85,81.61,58.18,257,10047,0.005
Brazil,BRA,2023-02-14,484388358,189162761,175711318,125270189,4154,50888,224.97,87.85,81.61,58.18,236,9409,0.004
Brazil,BRA,2023-02-15,484436984,189170510,175719644,125302768,48626,57366,224.99,87.86,81.61,58.2,266,10436,0.005
Brazil,BRA,2023-02-16,484442842,189170568,175721908,125306304,5858,45484,224.99,87.86,81.61,58.2,211,8131,0.004
Brazil,BRA,2023-02-17,484445913,189171357,175722993,125307501,3071,33203,225.0,87.86,81.61,58.2,154,5930,0.003
Brazil,BRA,2023-02-18,,,,,,20496,,,,,95,3622,0.002
Brazil,BRA,2023-02-19,484446084,189171428,175723093,,,14674,225.0,87.86,81.61,,68,2458,0.001
Brazil,BRA,2023-02-20,484446127,189171452,175723112,125307501,43,8846,225.0,87.86,81.61,58.2,41,1292,0.001
Brazil,BRA,2023-02-21,484988616,189314041,175827680,125604098,542489,85751,225.25,87.92,81.66,58.34,398,21611,0.01
Brazil,BRA,2023-02-22,,,,,,79121,,,,,367,20538,0.01
Brazil,BRA,2023-02-23,,,,,,78602,,,,,365,20563,0.01
Brazil,BRA,2023-02-24,484995271,189314745,175829569,125608160,,78480,225.25,87.93,81.66,58.34,364,20484,0.01
Brazil,BRA,2023-02-25,,,,,,79269,,,,,368,20515,0.01
Brazil,BRA,2023-02-26,485006494,189315252,175832576,125615869,,80059,225.26,87.93,81.66,58.34,372,20546,0.01
Brazil,BRA,2023-02-27,,,,,,93077,,,,,432,25021,0.012
Brazil,BRA,2023-02-28,485188835,189377950,175879810,125688357,,28603,225.34,87.95,81.69,58.37,133,9130,0.004
Brazil,BRA,2023-03-01,,,,,,30444,,,,,141,9657,0.004
Brazil,BRA,2023-03-02,485219050,189385794,175886999,125703539,,32285,225.35,87.96,81.69,58.38,150,10183,0.005
Brazil,BRA,2023-03-03,485247773,189393744,175893558,125717753,28723,36072,225.37,87.96,81.69,58.39,168,11286,0.005
Brazil,BRA,2023-03-04,485257376,189394362,175895897,125724399,9603,36642,225.37,87.96,81.69,58.39,170,11338,0.005
Brazil,BRA,2023-03-05,485257436,189394389,175895930,,60,35849,225.37,87.96,81.69,,166,11305,0.005
Brazil,BRA,2023-03-06,,,,125724399,,23621,,,,58.39,110,6860,0.003
Brazil,BRA,2023-03-07,485268593,189394850,175899966,125731059,,11394,225.38,87.96,81.69,58.39,53,2414,0.001
Brazil,BRA,2023-03-08,485279135,189395212,175904530,125736675,10542,10742,225.38,87.96,81.7,58.4,50,1906,0.001
Brazil,BRA,2023-03-09,,,,,,24940,,,,,116,4755,0.002
Brazil,BRA,2023-03-10,485508128,189442944,175955265,125867331,,37194,225.49,87.98,81.72,58.46,173,7029,0.003
Brazil,BRA,2023-03-11,485967890,189553754,176057109,126115210,459762,101502,225.7,88.04,81.77,58.57,471,22770,0.011
Brazil,BRA,2023-03-12,,,,,,103453,,,,,480,23160,0.011
Brazil,BRA,2023-03-13,485995326,189559262,176062834,126131437,,104616,225.72,88.04,81.77,58.58,486,23520,0.011
Brazil,BRA,2023-03-14,486174541,189603432,176110283,126219984,179215,129421,225.8,88.06,81.79,58.62,601,29797,0.014
Brazil,BRA,2023-03-15,,,,,,132599,,,,,616,29775,0.014
Brazil,BRA,2023-03-16,486240117,189603842,176110664,126284769,,120926,225.83,88.06,81.79,58.65,562,26395,0.012
Brazil,BRA,2023-03-17,,,,,,113268,,,,,526,24731,0.011
Brazil,BRA,2023-03-18,486361889,189628276,176144807,126348017,,56286,225.89,88.07,81.81,58.68,261,10646,0.005
Brazil,BRA,2023-03-19,486362655,189628646,176145203,,766,54435,225.89,88.07,81.81,,253,10305,0.005
Brazil,BRA,2023-03-20,,,,126348017,,56017,,,,58.68,260,10580,0.005
Brazil,BRA,2023-03-21,486412239,189637992,176157535,126376076,,33957,225.91,88.08,81.81,58.69,158,4937,0.002
Brazil,BRA,2023-03-22,486436436,189643431,176164186,126388587,24197,32730,225.92,88.08,81.82,58.7,152,5685,0.003
